طبرق المدينة - الجغبوب - الوتر - امساعد - البردي - راس عزاز - قصر الجدي - بير الاشهب - كمبوت - جترور - القعره - باب الزيتون - المرصص - بالخاثر- القرضبه - عين الغزالة - الشعبة - مرسلك,Tubrog Almadina - Al jagboob - Alwatr - Amsaad - Albardi - Ras azaz - Gasr Aljadi - Beer Al ashhab - Kamboot - Janzoor - Al Gaara - Bab alzytoon - Al marss - Balkhatir - Al ghardaba- Ain Alghazala - Al shoba - Marslk,البطنان
القبه المدينة - المخيلي- الابرق - القيقب - لالي - خولان - لملودة - عين مارة - بيت تامر - راس هلال والقرى المحيطة,Al Goba Almadina - Al mkhily - Alabrg - Algigb - Lali - Kholan Lamloda - Ain Mara - Bait Tamir - Ras Halal and all villages arround,البطنان
درنة المدينة - العزيات - التميمي - ام الرزم - خليج البومبه - مرتوبة - الفتائح - الأثرون - كرسه والقرى المحيطة,Darnat Almadina - Alaziyat - Altamimi - Um Elrazm - Khaleej AL bomba - Martooba - Al fataieh - Al athroon- Karsa & all areas arround,البطنان
شحات - الفائدية - قرنادة - سوسة والقرى المحيطة,Shahat - Alfaidiya -Ghranda - Soosa and all areas around it,الجبل الأخضر
البيضاء - الوسيطه - مسه - الخويمات - عمر المختار - سلنطه - قندوله - مراوه - جردس الجراري والقرى المحيطة,Al baida - Al wasita - Massa - Al khwimat - Omer AL mukhtar - Salanta - Ghandoola - Marawa - Jads Aljarari and all areas arround it,الجبل الأخضر
المرج - تاكنس - جردس العبيد - البنية - الصليعاية - مدور الزيتون - فرزوغة - العويلية - زاوية القصور - سيدي الصادق - الخروبة,Almarj - Tanks - Jars Al abeed - Albniya - Al saliaia - Mdwr al zaitoon - Farzooga - Al awiliya - Alwilia - zawyia Algasoor - Sidi Sadig - Al kharooba,الجبل الأخضر
قصر ليبيا - زاوية العرقوب - وادي بالحديد - البياضة - طلميثة - بطة - سيدي نوح - اقفنطه - الحمامة - الحنية,Gasr Libyia - Zawiya Alargoub - Wadi Bilhadeed - Albaiada - Talmita - Batta - Sidi Nouh - Agfnta - Al hamama - Al hnia,الجبل الأخضر
بنغازي - من جسر سيدي خليفة شرقا إلى الثرية غربا إلى معمل الاسمنت جنوبا,Bin Ghazi - from Jisr Sidi Khalifa in the East to Altria West to the cementfactory in the south,بنغازي الكبرى
الساحل الشرقي من منطقة توكرا الى سيدي خليفة,Eastern cost from Tokra Area to Sidi Khalifa,بنغازي الكبرى
سلوق - النواقية - أبو الصفن - قمينس - المقرون - شط البدين - الرقطة - زاوية طيلمون - سلوق - الجردينة - مسوس - الأبيار - الرجمة - بنينة - وادي الباب - السلك - المقزحة,Saloog - Alnawagya - Abu alsafn - Gamnees - Almagrron - Saht alydeen - Alragta - Zawiya - Talimoon - Saloog - Aljardina - Masoos - Alabiar - Al rajma - Banina - Wadi albab - Alsilk - Al magzha,بنغازي الكبرى
اجدابيا - سلطان - بشر - البريقة - العقيلة - مرادة - الزويتينة,Ajdabiya - Sultan - Bishr - Albariga - Alagila - Marada - Alzwitina,اجدابيا
الواحات: جالو - أوجلة - اجخرة,Alwahat: Jalo - Awjla - Ajkhra,اجدابيا
الكفرة - تازربو مكون التبو,Alkofra - Tazrbo - Tabu Component,اجدابيا
